model,rmse,mae,r2
Linear Regression,6.899535698136615,5.4660267650550765,0.04236899675225847
Ridge Regression,6.98122568490172,5.51724894208872,0.019558193424588644
Random Forest,6.949774401350341,5.475942949236108,0.028372316993794944
