player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60,player_1_name,player_2_name
42536,42547,0,35,1,0.0,42536,Ayberk Olmaz
42537,42538,1,158,3,0.37974683544303794,Izzet Turkyilmaz,Gasper Vidmar
42537,42540,0,125,1,0.0,Izzet Turkyilmaz,Luka Zoric
42537,42541,-1,513,7,-0.11695906432748537,Izzet Turkyilmaz,James Birsen
42537,42542,-2,475,7,-0.25263157894736843,Izzet Turkyilmaz,Kenan Sipahi
42537,42544,0,64,1,0.0,Izzet Turkyilmaz,Bojan Bogdanovic
42537,42546,2,118,2,1.0169491525423728,Izzet Turkyilmaz,Berk Ugurlu
42537,42547,-2,294,4,-0.40816326530612246,Izzet Turkyilmaz,Ayberk Olmaz
42538,42541,-1,139,3,-0.43165467625899284,Gasper Vidmar,James Birsen
42538,42542,1,286,6,0.2097902097902098,Gasper Vidmar,Kenan Sipahi
42538,42544,-1,955,10,-0.06282722513089006,Gasper Vidmar,Bojan Bogdanovic
42538,42545,-6,853,8,-0.4220398593200469,Gasper Vidmar,Emir Preldzic
42540,42541,-2,685,7,-0.1751824817518248,Luka Zoric,James Birsen
42540,42542,-2,685,7,-0.1751824817518248,Luka Zoric,Kenan Sipahi
42540,42544,1,780,6,0.07692307692307693,Luka Zoric,Bojan Bogdanovic
42540,42545,4,573,5,0.418848167539267,Luka Zoric,Emir Preldzic
42541,42542,-6,1051,14,-0.3425309229305423,James Birsen,Kenan Sipahi
42541,42544,-1,293,2,-0.20477815699658702,James Birsen,Bojan Bogdanovic
42541,42545,0,131,2,0.0,James Birsen,Emir Preldzic
42541,42546,2,118,2,1.0169491525423728,James Birsen,Berk Ugurlu
42541,42547,-2,329,5,-0.364741641337386,James Birsen,Ayberk Olmaz
42542,42544,1,440,5,0.13636363636363635,Kenan Sipahi,Bojan Bogdanovic
42542,42545,0,131,2,0.0,Kenan Sipahi,Emir Preldzic
42542,42546,1,16,1,3.75,Kenan Sipahi,Berk Ugurlu
42542,42547,-3,227,4,-0.7929515418502203,Kenan Sipahi,Ayberk Olmaz
42544,42545,-1,1247,10,-0.048115477145148355,Bojan Bogdanovic,Emir Preldzic
42546,42547,2,118,2,1.0169491525423728,Berk Ugurlu,Ayberk Olmaz
