feature,coefficient
away_std_player_impact,247.2696
away_min_player_impact,71.4468
star_gap,61.908
max_impact_diff,61.908
std_player_impact,33.1889
min_player_impact,25.1916
max_player_impact,11.8945
away_avg_player_impact,1.9675
total_duration,-0.0041
total_stints,-0.009
impact_balance,-4.6106
avg_player_impact,-22.4257
avg_impact_diff,-24.3932
min_impact_diff,-46.2552
away_max_player_impact,-50.0135
std_impact_diff,-214.0808
