team_id,player_id,player_name,team_name
1610612737,673,Alan Henderson,Atlanta Hawks
1610612737,1533,Anthony Johnson,Atlanta Hawks
1610612737,292,Anthony Miller,Atlanta Hawks
1610612737,1898,Cal Bowdler,Atlanta Hawks
1610612737,1544,Chris Crawford,Atlanta Hawks
1610612737,2035,DerMarr Johnson,Atlanta Hawks
1610612737,87,Dikembe Mutombo,Atlanta Hawks
1610612737,2069,Hanno Mottola,Atlanta Hawks
1610612737,1891,Jason Terry,Atlanta Hawks
1610612737,754,Jim Jackson,Atlanta Hawks
1610612737,1683,Larry Robinson,Atlanta Hawks
1610612737,953,Lorenzen Wright,Atlanta Hawks
1610612737,1074,Matt Maloney,Atlanta Hawks
1610612737,1728,Roshown McLeod,Atlanta Hawks
1610612738,1559,Adrian Griffin,Boston Celtics
1610612738,952,Antoine Walker,Boston Celtics
1610612738,179,Bryant Stith,Boston Celtics
1610612738,713,Chris Carr,Boston Celtics
1610612738,1914,Chris Herren,Boston Celtics
1610612738,77,Doug Overton,Boston Celtics
1610612738,677,Eric Williams,Boston Celtics
1610612738,2040,Jerome Moiso,Boston Celtics
1610612738,72,Kenny Anderson,Boston Celtics
1610612738,1548,Mark Blount,Boston Celtics
1610612738,1718,Paul Pierce,Boston Celtics
1610612738,753,Randy Brown,Boston Celtics
1610612738,1594,Rick Brunson,Boston Celtics
1610612738,1499,Tony Battie,Boston Celtics
1610612738,958,Vitaly Potapenko,Boston Celtics
1610612738,962,Walter McCarty,Boston Celtics
1610612751,1425,Aaron Williams,Brooklyn Nets
1610612751,1915,Evan Eschmeyer,Brooklyn Nets
1610612751,29,Jim McIlvaine,Brooklyn Nets
1610612751,271,Johnny Newman,Brooklyn Nets
1610612751,383,Kendall Gill,Brooklyn Nets
1610612751,2030,Kenyon Martin,Brooklyn Nets
1610612751,1563,Kevin Ollie,Brooklyn Nets
1610612751,446,Lucious Harris,Brooklyn Nets
1610612751,428,Sherman Douglas,Brooklyn Nets
1610612751,2066,Soumaila Samake,Brooklyn Nets
1610612751,1536,Stephen Jackson,Brooklyn Nets
1610612751,950,Stephon Marbury,Brooklyn Nets
1610612766,1884,Baron Davis,Charlotte Hornets
1610612766,133,David Wesley,Charlotte Hornets
