player_id,player_name
296,Rick Fox
109,Robert Horry
123,Robert Pack
1714,Robert Traylor
393,Rod Strickland
915,Rodney Rogers
166,Ron Harper
1500,Ron Mercer
1728,Roshown McLeod
2092,Ruben Garces
1739,Ruben Patterson
2106,Ruben Wolkowyski
208,Sam Cassell
1734,Sam Jacobson
417,Sam Mitchell
64,Sam Perkins
955,Samaki Walker
1513,Scot Pollard
281,Scott Williams
937,Scottie Pippen
251,Sean Elliott
399,Sean Rooks
1742,Shammond Williams
1000,Shandon Anderson
406,Shaquille O'Neal
949,Shareef Abdur-Rahim
762,Shawn Bradley
431,Shawn Kemp
1890,Shawn Marion
428,Sherman Douglas
2066,Soumaila Samake
278,Stacey Augmon
1536,Stephen Jackson
950,Stephon Marbury
1883,Steve Francis
70,Steve Kerr
959,Steve Nash
120,Steven Smith
2031,Stromile Swift
1505,Tariq Abdul-Wahad
2121,Terrance Roberson
210,Terrell Brandon
426,Terry Davis
371,Terry Mills
345,Terry Porter
689,Theo Ratliff
1495,Tim Duncan
896,Tim Hardaway
1906,Tim James
1501,Tim Thomas
103,Todd Day
957,Todd Fuller
1928,Todd MacCulloch
339,Tom Gugliotta
67,Tom Hammonds
389,Toni Kukoc
1499,Tony Battie
960,Tony Delk
763,Tony Massenburg
1503,Tracy McGrady
145,Tracy Murray
1892,Trajan Langdon
696,Travis Best
969,Travis Knight
1607,Troy Hudson
895,Tyrone Corbin
238,Tyrone Hill
1838,Tyrone Nesby
1731,Tyronn Lue
721,Tyus Edney
137,Vernon Maxwell
452,Vin Baker
1713,Vince Carter
219,Vinny Del Negro
958,Vitaly Potapenko
124,Vlade Divac
1907,Vonteego Cummings
702,Voshon Lenard
1887,Wally Szczerbiak
1005,Walt Williams
962,Walter McCarty
445,Wesley Person
781,Will Perdue
1895,William Avery
440,Zan Tabak
1985,Zendon Hamilton
980,Zydrunas Ilgauskas
