player_id,player_name,impact_per_60_sec
248,George Lynch,0.0071408169094544
45,George McCloud,0.0094126506024096
1562,Gerard King,0.0168421052631578
779,Glen Rice,0.012012012012012
299,Glenn Robinson,0.0004517732098486
255,Grant Hill,-0.0012804097311139
3,Grant Long,0.0028717294192724
21,Greg Anthony,-0.0214244354371742
1761,Greg Buckner,-0.0159817351598173
323,Greg Foster,0.0078740157480314
731,Greg Ostertag,0.0214446952595936
165,Hakeem Olajuwon,0.0062839188803199
2069,Hanno Mottola,-0.0339095744680851
2045,Hedo Turkoglu,0.0588928150765606
765,Hersey Hawkins,0.0021786492374727
270,Horace Grant,0.0006965405154399
458,Howard Eisley,-0.0075187969924812
93,Hubert Davis,-0.020932794711715
1134,Ike Austin,0.0099088386841062
1956,Ira Newble,-0.0521327014218009
375,Isaiah Rider,0.012205754141238
1521,Jacque Vaughn,0.0167785234899328
1751,Jahidi White,0.0221093516582013
2054,Jake Tsakalidis,0.0578231292517006
2063,Jake Voskuhl,-0.125
147,Jalen Rose,-0.0641025641025641
2048,Jamaal Magloire,0.022227367446168
2037,Jamal Crawford,-0.0153846153846153
469,Jamal Mashburn,-0.0008797009016934
1554,Jamal Robinson,-0.029940119760479
1899,James Posey,0.0086682427107959
1114,Jaren Jackson,-0.091743119266055
679,Jason Caffey,-0.0284724894190073
2044,Jason Collier,-0.0149041873669268
467,Jason Kidd,0.0124258160237388
1891,Jason Terry,-0.0133624878522837
1715,Jason Williams,0.009355883411299
1902,Jeff Foster,0.0309563294637921
976,Jeff McInnis,0.0043196544276457
1741,Jelani McCoy,0.0122426265998887
979,Jermaine O'Neal,-0.0448979591836734
760,Jerome Kersey,-0.0303605313092979
2040,Jerome Moiso,-0.0073461891643709
966,Jerome Williams,0.0192023633677991
711,Jerry Stackhouse,-0.0065590312815338
754,Jim Jackson,-0.0015232292460015
29,Jim McIlvaine,-0.0315186246418338
693,Joe Smith,0.0783410138248847
2038,Joel Przybilla,0.024906600249066
680,John Amaechi,-0.0246913580246913
317,John Starks,0.0036915504511894
304,John Stockton,0.0213475650433622
961,John Wallace,0.0022497187851518
271,Johnny Newman,0.0005945303210463
468,Jon Barry,0.0099892971815911
1886,Jonathan Bender,-0.0247011952191235
146,Jud Buechler,0.0061179087875417
1908,Jumaine Jones,0.0353260869565217
436,Juwan Howard,0.0282982791586998
252,Karl Malone,0.0307334710743801
1509,Kelvin Cato,0.0157232704402515
383,Kendall Gill,0.0156420516551473
72,Kenny Anderson,0.0089126559714795
1903,Kenny Thomas,0.0031391698639693
2030,Kenyon Martin,0.0119047619047619
1721,Keon Clark,-0.0002897710808461
236,Kevin Edwards,0.0137569603668522
708,Kevin Garnett,-0.0052830188679245
1563,Kevin Ollie,-0.0205696202531645
788,Kevin Willis,-0.0202666666666666
2039,Keyon Dooling,-0.0014058106841611
2064,Khalid El-Amin,0.01875
977,Kobe Bryant,0.0104275286757038
1600,Kornel David,-0.0438432835820895
703,Kurt Thomas,0.0069096974029068
111,LaPhonso Ellis,0.0032108455226542
1885,Lamar Odom,-0.0255796834744203
441,Lamond Murray,-0.0169218372280419
1716,Larry Hughes,-0.0071823204419889
913,Larry Johnson,0.0395177494976557
1683,Larry Robinson,-0.0096009600960096
84,Latrell Sprewell,0.011915140947399
2068,Lavor Postell,0.0183767228177641
1444,Lawrence Funderburke,0.0132505175983436
