player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60
1533,754,10,440,28,0.022727272727272728
1536,1563,-2,541,39,-0.0036968576709796672
1536,1915,60,3689,246,0.01626457034426674
1536,2030,45,3577,227,0.012580374615599665
1536,2066,15,573,44,0.02617801047120419
1536,271,-7,2468,182,-0.0028363047001620746
1536,29,-55,1007,64,-0.05461767626613704
1536,383,33,1994,128,0.016549648946840523
1536,446,-11,399,30,-0.02756892230576441
1536,950,-14,408,31,-0.03431372549019608
1538,1714,4,1870,155,0.0021390374331550803
1538,1723,-12,983,89,-0.012207527975584944
1538,1889,24,1574,131,0.015247776365946633
1538,1892,54,1498,122,0.036048064085447265
1538,2036,26,872,76,0.02981651376146789
1538,221,-24,1398,101,-0.017167381974248927
1538,423,-33,541,46,-0.06099815157116451
1538,441,-13,542,44,-0.023985239852398525
1538,445,0,627,48,0.0
1538,902,-20,639,50,-0.03129890453834116
1538,980,11,268,21,0.041044776119402986
1541,1600,-19,609,51,-0.031198686371100164
1541,1713,33,2461,174,0.013409183258837871
1541,2050,16,2415,177,0.006625258799171843
1541,209,-15,1202,79,-0.012479201331114808
1541,213,58,2450,169,0.0236734693877551
1541,349,67,2748,195,0.02438136826783115
1541,722,27,976,75,0.027663934426229508
1541,788,-8,1174,89,-0.0068143100511073255
1541,891,-5,890,76,-0.0056179775280898875
1541,895,8,445,30,0.017977528089887642
1544,1683,-25,2175,171,-0.011494252873563218
1544,1728,-17,909,68,-0.0187018701870187
1544,1891,-30,2356,166,-0.012733446519524618
1544,1898,1,338,29,0.0029585798816568047
1544,2035,-33,1636,138,-0.020171149144254278
1544,2069,-11,601,42,-0.018302828618968387
1544,673,-2,1089,78,-0.0018365472910927456
1544,754,-10,553,32,-0.018083182640144666
1544,87,-6,211,14,-0.02843601895734597
1548,1559,5,663,57,0.007541478129713424
1548,1594,-13,605,56,-0.021487603305785124
1548,1718,-23,1094,91,-0.02102376599634369
1548,179,-43,1153,91,-0.0372940156114484
1548,1914,-23,363,34,-0.06336088154269973
1548,2040,12,285,23,0.042105263157894736
1548,677,-17,645,55,-0.02635658914728682
1548,713,-6,302,27,-0.019867549668874173
1548,958,-3,267,20,-0.011235955056179775
1554,1853,-27,790,61,-0.03417721518987342
1554,190,-18,588,50,-0.030612244897959183
1554,193,-25,945,75,-0.026455026455026454
1554,2067,-11,466,41,-0.023605150214592276
1554,258,-3,200,18,-0.015
1554,920,-4,324,21,-0.012345679012345678
1554,957,-15,353,26,-0.042492917847025496
1559,1594,-20,481,43,-0.04158004158004158
1559,1718,-19,1120,99,-0.016964285714285713
1559,179,-27,1003,99,-0.026919242273180457
1559,2040,-1,643,59,-0.0015552099533437014
1559,677,12,504,44,0.023809523809523808
1559,713,-9,212,15,-0.04245283018867924
1559,753,7,298,30,0.02348993288590604
1559,952,5,215,20,0.023255813953488372
1562,1732,32,1950,157,0.01641025641025641
1562,1751,69,1557,114,0.04431599229287091
1562,1888,45,2700,207,0.016666666666666666
1562,1916,-22,682,49,-0.03225806451612903
1562,1918,7,855,67,0.008187134502923977
1562,393,58,1785,128,0.032492997198879554
1562,43,-6,1112,90,-0.00539568345323741
1562,436,48,506,34,0.09486166007905138
1562,63,-25,693,60,-0.03607503607503607
1562,685,1,631,46,0.001584786053882726
1562,782,17,829,56,0.020506634499396863
1563,1915,-10,313,29,-0.03194888178913738
1563,2030,-9,491,32,-0.018329938900203666
1563,271,-11,210,19,-0.05238095238095238
1563,29,-4,243,11,-0.01646090534979424
1563,383,-9,251,15,-0.035856573705179286
1594,1718,-64,1072,81,-0.05970149253731343
1594,179,-53,922,77,-0.057483731019522775
1594,1914,-21,389,33,-0.05398457583547558
1594,677,-13,658,59,-0.019756838905775075
1594,713,-24,520,39,-0.046153846153846156
1594,952,-20,243,15,-0.0823045267489712
1594,958,5,448,39,0.011160714285714286
1600,1713,-21,546,32,-0.038461538461538464
1600,2050,-16,556,44,-0.02877697841726619
1600,209,-27,573,42,-0.04712041884816754
1600,213,-32,652,40,-0.049079754601226995
1600,349,-24,599,41,-0.04006677796327212
1607,1720,5,569,51,0.008787346221441126
1607,1727,8,1491,131,0.0053655264922870555
1607,2034,-7,1198,105,-0.005843071786310518
1607,255,-9,213,21,-0.04225352112676056
1607,353,-3,815,58,-0.0036809815950920245
1607,42,11,701,70,0.015691868758915834
1607,448,-6,677,63,-0.008862629246676515
1607,690,17,370,27,0.04594594594594595
1630,182,28,673,46,0.041604754829123326
1630,2043,15,2353,197,0.006374840628984276
1630,344,-1,295,23,-0.003389830508474576
1630,376,-27,776,65,-0.03479381443298969
1630,688,-22,885,72,-0.024858757062146894
1630,711,-17,617,54,-0.027552674230145867
1630,76,-6,439,39,-0.01366742596810934
1630,966,7,435,43,0.016091954022988506
164,26,11,338,24,0.03254437869822485
164,275,44,3145,229,0.013990461049284579
164,280,9,207,16,0.043478260869565216
164,369,23,1407,103,0.016346837242359632
164,703,21,2748,215,0.007641921397379912
164,779,34,3088,222,0.011010362694300517
164,84,-12,2205,161,-0.005442176870748299
164,913,-3,647,47,-0.00463678516228748
164,948,-25,682,40,-0.036656891495601175
164,969,8,338,28,0.023668639053254437
165,1749,31,2469,171,0.012555690562980963
165,1883,28,1523,91,0.018384766907419567
165,1903,36,1166,77,0.030874785591766724
165,2044,-7,206,25,-0.03398058252427184
165,672,26,1016,75,0.025590551181102362
165,983,-13,543,41,-0.02394106813996317
166,1731,-9,796,60,-0.011306532663316583
166,1904,1,1034,69,0.0009671179883945841
166,2058,-1,414,24,-0.0024154589371980675
166,2130,-14,738,51,-0.018970189701897018
166,216,9,1730,98,0.005202312138728324
166,270,-27,2782,159,-0.009705248023005032
166,296,-37,2287,149,-0.016178399650196764
166,323,-7,702,51,-0.009971509971509971
166,375,-12,854,61,-0.01405152224824356
166,406,48,1683,83,0.0285204991087344
166,977,-15,1047,50,-0.014326647564469915
168,1712,-6,2282,156,-0.0026292725679228747
168,1716,-3,2075,136,-0.0014457831325301205
168,219,10,420,41,0.023809523809523808
168,228,-23,758,56,-0.030343007915567283
168,302,-19,1247,81,-0.015236567762630313
168,682,35,357,27,0.09803921568627451
168,956,5,809,61,0.006180469715698393
1683,1728,-1,640,47,-0.0015625
1683,1891,-12,1957,150,-0.0061318344404701075
1683,1898,-4,380,33,-0.010526315789473684
1683,2035,-2,1466,110,-0.001364256480218281
1683,2069,-47,912,71,-0.051535087719298246
1683,673,15,1087,81,0.013799448022079117
1683,754,14,366,29,0.03825136612021858
1709,1730,-52,1108,79,-0.04693140794223827
1709,1838,-47,2091,131,-0.022477283596365374
1709,1885,-88,3039,184,-0.028956893715037842
1709,1894,-47,1174,79,-0.04003407155025554
1709,2032,0,1391,98,0.0
1709,2039,0,921,59,0.0
1709,2047,-16,932,63,-0.017167381974248927
1709,399,-20,1060,73,-0.018867924528301886
1709,400,-48,800,45,-0.06
1709,976,18,624,37,0.028846153846153848
1710,1722,80,1525,99,0.05245901639344262
1710,1800,57,2430,166,0.02345679012345679
1710,2031,-10,204,19,-0.049019607843137254
1710,236,46,2229,147,0.02063705697622252
1710,28,-57,1124,77,-0.050711743772241996
1710,3,36,2439,142,0.014760147601476014
1710,51,24,677,48,0.03545051698670606
1710,735,5,1993,115,0.002508780732563974
1710,949,19,1090,60,0.01743119266055046
1710,970,2,687,49,0.002911208151382824
1711,1721,34,2300,161,0.014782608695652174
1711,1899,59,2640,165,0.02234848484848485
1711,45,41,1914,151,0.021421107628004178
1711,686,54,1474,91,0.036635006784260515
1711,702,57,1193,92,0.04777870913663034
1711,89,17,557,50,0.03052064631956912
1712,1716,-10,2838,178,-0.0035236081747709656
1712,2084,-4,290,21,-0.013793103448275862
1712,219,-32,1049,77,-0.030505243088655862
1712,228,-26,780,54,-0.03333333333333333
1712,302,-31,1896,113,-0.016350210970464137
1712,682,34,660,47,0.051515151515151514
1712,904,-5,706,42,-0.007082152974504249
1712,956,-10,1659,111,-0.006027727546714889
1712,988,0,302,16,0.0
1713,2050,98,2818,198,0.0347764371894961
1713,209,-8,1251,80,-0.006394884092725819
1713,213,166,3758,228,0.04417243214475785
1713,349,176,3783,235,0.04652392281258261
1713,722,148,1874,108,0.07897545357524013
