home_lineup_tuple,away_lineup_tuple,total_home_points,total_away_points,total_duration,total_stints,net_points,net_per_60
"('15', '1885', '2032', '2047', '399')","('1074', '1544', '1891', '2035', '673')",7,1,15,1,6,24.0
"('1502', '1504', '168', '1716', '302')","('201', '2092', '361', '467', '916')",6,0,15,1,6,24.0
"('109', '296', '323', '375', '977')","('1005', '1508', '1749', '1883', '2044')",4,0,10,1,4,24.0
"('15', '1709', '2032', '2039', '400')","('1536', '1915', '2030', '29', '950')",4,0,10,1,4,24.0
"('1501', '2038', '208', '283', '679')","('1538', '1714', '1892', '441', '980')",4,0,10,2,4,24.0
"('1509', '1749', '1883', '2044', '983')","('1497', '1734', '210', '324', '708')",4,0,10,1,4,24.0
"('1074', '1533', '1544', '1683', '1898')","('243', '248', '689', '727', '761')",2,0,5,2,2,24.0
"('109', '2130', '375', '406', '977')","('123', '145', '1711', '1721', '1899')",2,0,5,1,2,24.0
"('1110', '123', '1711', '45', '702')","('1890', '201', '2091', '2101', '915')",2,0,5,1,2,24.0
"('121', '1739', '1742', '2046', '452')","('1721', '1899', '426', '686', '702')",2,0,5,1,2,24.0
"('123', '1505', '1711', '1899', '686')","('2130', '270', '323', '375', '977')",2,0,5,1,2,24.0
"('128', '178', '304', '317', '330')","('1503', '1720', '1727', '2034', '353')",2,0,5,1,2,24.0
"('147', '1733', '1743', '1886', '1902')","('1732', '1888', '1916', '1918', '43')",2,0,5,1,2,24.0
"('1477', '1554', '1853', '193', '920')","('1607', '2034', '448', '690', '692')",2,0,5,1,2,24.0
"('1501', '283', '679', '911', '951')","('1074', '1544', '1683', '1891', '2035')",2,0,5,1,2,24.0
"('1503', '2034', '255', '353', '448')","('1732', '1751', '1888', '393', '436')",2,0,5,1,2,24.0
"('1521', '178', '1900', '252', '304')","('1500', '1882', '1913', '2063', '2064')",2,0,5,1,2,24.0
"('1521', '178', '2052', '304', '923')","('1717', '363', '458', '714', '93')",2,0,5,1,2,24.0
"('1538', '1714', '1889', '423', '445')","('1499', '179', '713', '753', '958')",2,0,5,1,2,24.0
"('1709', '1885', '1894', '2032', '400')","('1000', '1903', '2044', '672', '983')",2,0,5,1,2,24.0
"('1710', '1800', '3', '735', '970')","('1711', '1721', '1899', '45', '89')",2,0,5,1,2,24.0
"('1737', '1908', '1928', '2143', '243')","('1554', '1853', '2067', '920', '957')",2,0,5,1,2,24.0
"('1890', '201', '2101', '467', '915')","('1717', '2042', '762', '919', '93')",2,0,5,1,2,24.0
"('1904', '2058', '2130', '375', '406')","('123', '145', '1711', '1721', '1899')",4,2,5,1,2,24.0
"('1904', '270', '296', '406', '977')","('1502', '1531', '1712', '1716', '682')",2,0,5,1,2,24.0
"('2058', '2130', '270', '296', '323')","('1531', '1712', '1716', '219', '956')",2,0,5,1,2,24.0
"('1477', '1853', '190', '193', '224')","('1501', '208', '299', '679', '911')",-55,-86,78,5,31,23.85
"('109', '270', '296', '375', '977')","('15', '1709', '1730', '1885', '2032')",9,2,18,1,7,23.33
"('147', '1506', '1733', '371', '696')","('1541', '1713', '213', '349', '722')",10,0,26,2,10,23.08
"('1110', '1711', '1721', '1899', '702')","('1890', '201', '2091', '2092', '467')",5,0,13,2,5,23.08
"('136', '1924', '2048', '469', '695')","('137', '1737', '389', '727', '761')",7,2,13,1,5,23.08
"('1425', '1536', '1915', '2030', '271')","('1088', '182', '2043', '961', '966')",5,0,13,1,5,23.08
"('1732', '1888', '393', '436', '685')","('1501', '208', '283', '679', '911')",7,2,13,1,5,23.08
"('1536', '1915', '2030', '2066', '271')","('1023', '121', '1739', '2046', '2106')",8,0,21,1,8,22.86
"('1717', '2059', '363', '458', '714')","('1501', '208', '299', '679', '911')",-56,-86,79,3,30,22.78
"('1500', '1882', '1897', '1913', '2033')","('1713', '2050', '213', '349', '788')",6,0,16,2,6,22.5
"('1501', '208', '283', '299', '679')","('1538', '1714', '1892', '221', '902')",9,3,16,1,6,22.5
"('1074', '1683', '1728', '2035', '673')","('133', '136', '469', '695', '765')",5,2,8,1,3,22.5
"('1477', '1853', '193', '896', '920')","('133', '136', '1906', '1944', '765')",3,0,8,1,3,22.5
"('1501', '2038', '283', '679', '911')","('1538', '1714', '1723', '441', '980')",3,0,8,1,3,22.5
"('1536', '1915', '2030', '271', '29')","('121', '1740', '2106', '452', '56')",4,1,8,2,3,22.5
"('1541', '1600', '209', '349', '788')","('1538', '1714', '1889', '2036', '445')",3,0,8,1,3,22.5
"('1709', '1885', '1894', '2032', '976')","('1134', '1722', '1800', '2031', '236')",3,0,8,1,3,22.5
"('1890', '201', '2092', '2101', '53')","('2042', '2059', '223', '458', '762')",4,1,8,1,3,22.5
"('1890', '201', '467', '53', '915')","('1761', '2042', '2059', '458', '762')",4,1,8,1,3,22.5
"('1110', '1505', '1711', '1721', '1899')","('1890', '201', '361', '467', '53')",10,3,19,1,7,22.11
"('1425', '1915', '2030', '383', '446')","('1554', '1853', '190', '2067', '258')",4,0,11,1,4,21.82
"('1477', '1554', '193', '2067', '258')","('1138', '1714', '1889', '1892', '221')",4,0,11,1,4,21.82
"('1548', '1559', '1718', '2040', '677')","('1713', '209', '213', '349', '722')",6,2,11,1,4,21.82
"('164', '275', '369', '703', '779')","('1728', '1891', '2035', '2069', '754')",6,2,11,1,4,21.82
"('1751', '1888', '393', '436', '782')","('1548', '1718', '179', '1914', '677')",8,4,11,1,4,21.82
"('201', '2091', '361', '467', '53')","('120', '1719', '739', '757', '905')",5,0,14,1,5,21.43
"('1495', '1498', '1507', '198', '251')","('1051', '1725', '1895', '324', '417')",6,0,17,1,6,21.18
"('1513', '185', '468', '57', '98')","('120', '21', '431', '905', '937')",6,0,17,1,6,21.18
"('1717', '2042', '714', '762', '93')","('1498', '1507', '422', '70', '990')",6,0,17,1,6,21.18
"('1541', '2050', '213', '349', '895')","('1594', '1718', '677', '713', '952')",10,2,23,1,8,20.87
"('1538', '1714', '1723', '1892', '2036')","('1088', '1112', '1630', '2043', '76')",10,0,29,2,10,20.69
"('120', '278', '431', '739', '757')","('1717', '714', '762', '919', '959')",19,6,39,2,13,20.0
"('1000', '1749', '2061', '435', '672')","('1897', '2033', '2037', '2063', '697')",9,0,27,1,9,20.0
"('164', '275', '703', '779', '913')","('1800', '3', '51', '735', '949')",10,1,27,2,9,20.0
"('1495', '1507', '198', '251', '422')","('1497', '1725', '1895', '210', '324')",8,1,21,1,7,20.0
