player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60,player_1_name,player_2_name,pair_name
1110,45,22,646,60,0.03,Mark Strickland,George McCloud,Mark Strickland + George McCloud
1709,976,18,624,37,0.03,Michael Olowokandi,Jeff McInnis,Michael Olowokandi + Jeff McInnis
2038,299,18,597,31,0.03,Joel Przybilla,Glenn Robinson,Joel Przybilla + Glenn Robinson
1536,2066,15,573,44,0.03,Stephen Jackson,Soumaila Samake,Stephen Jackson + Soumaila Samake
1711,89,17,557,50,0.03,Raef LaFrentz,Nick Van Exel,Raef LaFrentz + Nick Van Exel
458,919,17,557,46,0.03,Howard Eisley,Loy Vaught,Howard Eisley + Loy Vaught
2066,271,18,533,48,0.03,Soumaila Samake,Johnny Newman,Soumaila Samake + Johnny Newman
103,1895,15,483,39,0.03,Todd Day,William Avery,Todd Day + William Avery
210,417,14,481,49,0.03,Terrell Brandon,Sam Mitchell,Terrell Brandon + Sam Mitchell
238,947,12,474,39,0.03,Tyrone Hill,Allen Iverson,Tyrone Hill + Allen Iverson
1073,1895,13,471,29,0.03,Reggie Slater,William Avery,Reggie Slater + William Avery
236,949,15,470,33,0.03,Kevin Edwards,Shareef Abdur-Rahim,Kevin Edwards + Shareef Abdur-Rahim
1110,145,13,469,45,0.03,Mark Strickland,Tracy Murray,Mark Strickland + Tracy Murray
145,1899,16,467,31,0.03,Tracy Murray,James Posey,Tracy Murray + James Posey
147,1902,15,458,29,0.03,Jalen Rose,Jeff Foster,Jalen Rose + Jeff Foster
43,685,11,439,40,0.03,Chris Whitney,Cherokee Parks,Chris Whitney + Cherokee Parks
1477,2067,13,434,34,0.03,Bruce Bowen,Eddie House,Bruce Bowen + Eddie House
1741,1742,13,422,31,0.03,Jelani McCoy,Shammond Williams,Jelani McCoy + Shammond Williams
753,958,14,410,37,0.03,Randy Brown,Vitaly Potapenko,Randy Brown + Vitaly Potapenko
1051,1073,11,391,24,0.03,Dean Garrett,Reggie Slater,Dean Garrett + Reggie Slater
688,966,10,385,33,0.03,Michael Curry,Jerome Williams,Michael Curry + Jerome Williams
1714,980,12,377,28,0.03,Robert Traylor,Zydrunas Ilgauskas,Robert Traylor + Zydrunas Ilgauskas
1138,1723,10,375,25,0.03,Michael Hawkins,Matt Harpring,Michael Hawkins + Matt Harpring
1521,935,13,374,29,0.03,Jacque Vaughn,Bryon Russell,Jacque Vaughn + Bryon Russell
146,344,9,359,26,0.03,Jud Buechler,Dana Barros,Jud Buechler + Dana Barros
949,970,12,356,22,0.03,Shareef Abdur-Rahim,Othella Harrington,Shareef Abdur-Rahim + Othella Harrington
317,731,9,352,26,0.03,John Starks,Greg Ostertag,John Starks + Greg Ostertag
164,26,11,338,24,0.03,Chris Childs,Luc Longley,Chris Childs + Luc Longley
182,966,9,334,33,0.03,Billy Owens,Jerome Williams,Billy Owens + Jerome Williams
1895,708,8,271,22,0.03,William Avery,Kevin Garnett,William Avery + Kevin Garnett
1906,1944,9,264,22,0.03,Tim James,Eddie Robinson,Tim James + Eddie Robinson
1502,682,8,260,21,0.03,Adonal Foyle,Bob Sura,Adonal Foyle + Bob Sura
1499,1548,8,258,22,0.03,Tony Battie,Mark Blount,Tony Battie + Mark Blount
1906,2048,7,256,24,0.03,Tim James,Jamaal Magloire,Tim James + Jamaal Magloire
1730,2039,8,252,23,0.03,Brian Skinner,Keyon Dooling,Brian Skinner + Keyon Dooling
1900,317,8,239,18,0.03,Quincy Lewis,John Starks,Quincy Lewis + John Starks
426,89,8,232,21,0.03,Terry Davis,Nick Van Exel,Terry Davis + Nick Van Exel
201,960,8,231,16,0.03,Chris Dudley,Tony Delk,Chris Dudley + Tony Delk
123,89,6,207,18,0.03,Robert Pack,Nick Van Exel,Robert Pack + Nick Van Exel
275,779,83,3944,274,0.02,Allan Houston,Glen Rice,Allan Houston + Glen Rice
1425,1536,61,3873,268,0.02,Aaron Williams,Stephen Jackson,Aaron Williams + Stephen Jackson
1425,1915,86,3849,269,0.02,Aaron Williams,Evan Eschmeyer,Aaron Williams + Evan Eschmeyer
1915,2030,66,3830,252,0.02,Evan Eschmeyer,Kenyon Martin,Evan Eschmeyer + Kenyon Martin
361,467,80,3783,244,0.02,Clifford Robinson,Jason Kidd,Clifford Robinson + Jason Kidd
133,136,79,3692,234,0.02,David Wesley,P.J. Brown,David Wesley + P.J. Brown
1536,1915,60,3689,246,0.02,Stephen Jackson,Evan Eschmeyer,Stephen Jackson + Evan Eschmeyer
133,2048,87,3617,255,0.02,David Wesley,Jamaal Magloire,David Wesley + Jamaal Magloire
1425,2030,78,3607,247,0.02,Aaron Williams,Kenyon Martin,Aaron Williams + Kenyon Martin
275,703,52,3462,266,0.02,Allan Houston,Kurt Thomas,Allan Houston + Kurt Thomas
208,283,64,3415,252,0.02,Sam Cassell,Lindsey Hunter,Sam Cassell + Lindsey Hunter
1888,393,79,3403,239,0.02,Richard Hamilton,Rod Strickland,Richard Hamilton + Rod Strickland
1507,251,49,3244,227,0.02,Derek Anderson,Sean Elliott,Derek Anderson + Sean Elliott
1739,1740,69,3241,214,0.02,Ruben Patterson,Rashard Lewis,Ruben Patterson + Rashard Lewis
283,299,66,3167,232,0.02,Lindsey Hunter,Glenn Robinson,Lindsey Hunter + Glenn Robinson
1000,165,44,2906,169,0.02,Shandon Anderson,Hakeem Olajuwon,Shandon Anderson + Hakeem Olajuwon
1498,251,60,2801,219,0.02,Antonio Daniels,Sean Elliott,Antonio Daniels + Sean Elliott
1541,349,67,2748,195,0.02,Alvin Williams,Mark Jackson,Alvin Williams + Mark Jackson
1562,1888,45,2700,207,0.02,Gerard King,Richard Hamilton,Gerard King + Richard Hamilton
1711,1899,59,2640,165,0.02,Raef LaFrentz,James Posey,Raef LaFrentz + James Posey
275,84,46,2581,174,0.02,Allan Houston,Latrell Sprewell,Allan Houston + Latrell Sprewell
1477,224,40,2513,179,0.02,Bruce Bowen,Eddie Jones,Bruce Bowen + Eddie Jones
1751,1888,45,2471,174,0.02,Jahidi White,Richard Hamilton,Jahidi White + Richard Hamilton
1541,213,58,2450,169,0.02,Alvin Williams,Antonio Davis,Alvin Williams + Antonio Davis
1710,1800,57,2430,166,0.02,Mike Bibby,Damon Jones,Mike Bibby + Damon Jones
369,779,52,2420,170,0.02,Charlie Ward,Glen Rice,Charlie Ward + Glen Rice
185,57,42,2410,144,0.02,Chris Webber,Doug Christie,Chris Webber + Doug Christie
2030,383,53,2364,154,0.02,Kenyon Martin,Kendall Gill,Kenyon Martin + Kendall Gill
1503,1720,45,2336,163,0.02,Tracy McGrady,Michael Doleac,Tracy McGrady + Michael Doleac
243,248,44,2268,197,0.02,Aaron McKie,George Lynch,Aaron McKie + George Lynch
1710,236,46,2229,147,0.02,Mike Bibby,Kevin Edwards,Mike Bibby + Kevin Edwards
190,224,46,2205,154,0.02,Duane Causwell,Eddie Jones,Duane Causwell + Eddie Jones
393,436,48,2150,137,0.02,Rod Strickland,Juwan Howard,Rod Strickland + Juwan Howard
1495,1498,43,2119,160,0.02,Tim Duncan,Antonio Daniels,Tim Duncan + Antonio Daniels
1719,739,38,2097,154,0.02,Bonzi Wells,Rasheed Wallace,Bonzi Wells + Rasheed Wallace
1800,236,35,2056,147,0.02,Damon Jones,Kevin Edwards,Damon Jones + Kevin Edwards
1717,363,33,2051,158,0.02,Dirk Nowitzki,Christian Laettner,Dirk Nowitzki + Christian Laettner
201,467,44,2009,142,0.02,Chris Dudley,Jason Kidd,Chris Dudley + Jason Kidd
1536,383,33,1994,128,0.02,Stephen Jackson,Kendall Gill,Stephen Jackson + Kendall Gill
243,689,30,1958,151,0.02,Aaron McKie,Theo Ratliff,Aaron McKie + Theo Ratliff
15,2032,33,1953,144,0.02,Eric Piatkowski,Darius Miles,Eric Piatkowski + Darius Miles
1562,1732,32,1950,157,0.02,Gerard King,Felipe Lopez,Gerard King + Felipe Lopez
1134,1710,37,1938,137,0.02,Ike Austin,Mike Bibby,Ike Austin + Mike Bibby
1711,45,41,1914,151,0.02,Raef LaFrentz,George McCloud,Raef LaFrentz + George McCloud
251,422,43,1899,136,0.02,Sean Elliott,Avery Johnson,Sean Elliott + Avery Johnson
133,1944,29,1861,134,0.02,David Wesley,Eddie Robinson,David Wesley + Eddie Robinson
1715,185,33,1824,114,0.02,Jason Williams,Chris Webber,Jason Williams + Chris Webber
1521,1900,35,1822,133,0.02,Jacque Vaughn,Quincy Lewis,Jacque Vaughn + Quincy Lewis
1888,436,36,1807,131,0.02,Richard Hamilton,Juwan Howard,Richard Hamilton + Juwan Howard
1900,304,41,1741,128,0.02,Quincy Lewis,John Stockton,Quincy Lewis + John Stockton
1889,1892,34,1739,129,0.02,Andre Miller,Trajan Langdon,Andre Miller + Trajan Langdon
299,951,41,1669,110,0.02,Glenn Robinson,Ray Allen,Glenn Robinson + Ray Allen
1899,45,27,1652,119,0.02,James Posey,George McCloud,James Posey + George McCloud
1714,1892,28,1598,126,0.02,Robert Traylor,Trajan Langdon,Robert Traylor + Trajan Langdon
1538,1889,24,1574,131,0.02,Cedric Henderson,Andre Miller,Cedric Henderson + Andre Miller
1134,236,36,1543,115,0.02,Ike Austin,Kevin Edwards,Ike Austin + Kevin Edwards
165,1883,28,1523,91,0.02,Hakeem Olajuwon,Steve Francis,Hakeem Olajuwon + Steve Francis
1023,1740,32,1520,111,0.02,Emanual Davis,Rashard Lewis,Emanual Davis + Rashard Lewis
1732,1918,32,1444,98,0.02,Felipe Lopez,Obinna Ekezie,Felipe Lopez + Obinna Ekezie
2046,452,26,1442,106,0.02,Desmond Mason,Vin Baker,Desmond Mason + Vin Baker
1725,210,27,1436,81,0.02,Rasho Nesterovic,Terrell Brandon,Rasho Nesterovic + Terrell Brandon
1088,182,27,1413,102,0.02,Chucky Atkins,Billy Owens,Chucky Atkins + Billy Owens
164,369,23,1407,103,0.02,Chris Childs,Charlie Ward,Chris Childs + Charlie Ward
1887,210,22,1400,101,0.02,Wally Szczerbiak,Terrell Brandon,Wally Szczerbiak + Terrell Brandon
2091,915,25,1378,128,0.02,Daniel Santiago,Rodney Rogers,Daniel Santiago + Rodney Rogers
296,977,29,1345,88,0.02,Rick Fox,Kobe Bryant,Rick Fox + Kobe Bryant
216,406,32,1331,71,0.02,Brian Shaw,Shaquille O'Neal,Brian Shaw + Shaquille O'Neal
137,243,27,1330,130,0.02,Vernon Maxwell,Aaron McKie,Vernon Maxwell + Aaron McKie
1444,1513,30,1310,99,0.02,Lawrence Funderburke,Scot Pollard,Lawrence Funderburke + Scot Pollard
1495,422,23,1296,83,0.02,Tim Duncan,Avery Johnson,Tim Duncan + Avery Johnson
1888,782,26,1268,94,0.02,Richard Hamilton,Mitch Richmond,Richard Hamilton + Mitch Richmond
1888,1918,19,1215,93,0.02,Richard Hamilton,Obinna Ekezie,Richard Hamilton + Obinna Ekezie
201,2091,23,1199,88,0.02,Chris Dudley,Daniel Santiago,Chris Dudley + Daniel Santiago
243,727,28,1182,97,0.02,Aaron McKie,Eric Snow,Aaron McKie + Eric Snow
1500,2064,29,1171,79,0.02,Ron Mercer,Khalid El-Amin,Ron Mercer + Khalid El-Amin
1882,2064,23,1155,85,0.02,Elton Brand,Khalid El-Amin,Elton Brand + Khalid El-Amin
296,323,18,1151,79,0.02,Rick Fox,Greg Foster,Rick Fox + Greg Foster
1444,468,27,1149,88,0.02,Lawrence Funderburke,Jon Barry,Lawrence Funderburke + Jon Barry
2101,467,21,1123,80,0.02,Paul McPherson,Jason Kidd,Paul McPherson + Jason Kidd
1710,949,19,1090,60,0.02,Mike Bibby,Shareef Abdur-Rahim,Mike Bibby + Shareef Abdur-Rahim
193,920,25,1089,94,0.02,Anthony Mason,A.C. Green,Anthony Mason + A.C. Green
677,958,22,1085,90,0.02,Eric Williams,Vitaly Potapenko,Eric Williams + Vitaly Potapenko
1740,1741,26,1070,61,0.02,Rashard Lewis,Jelani McCoy,Rashard Lewis + Jelani McCoy
1513,1517,19,1025,79,0.02,Scot Pollard,Bobby Jackson,Scot Pollard + Bobby Jackson
2043,966,18,1010,86,0.02,Mateen Cleaves,Jerome Williams,Mateen Cleaves + Jerome Williams
133,765,20,994,77,0.02,David Wesley,Hersey Hawkins,David Wesley + Hersey Hawkins
1894,2032,23,971,78,0.02,Corey Maggette,Darius Miles,Corey Maggette + Darius Miles
1506,64,16,954,68,0.02,Austin Croshere,Sam Perkins,Austin Croshere + Sam Perkins
1928,248,19,946,77,0.02,Todd MacCulloch,George Lynch,Todd MacCulloch + George Lynch
2032,2039,15,945,62,0.02,Darius Miles,Keyon Dooling,Darius Miles + Keyon Dooling
686,702,21,941,66,0.02,Antonio McDyess,Voshon Lenard,Antonio McDyess + Voshon Lenard
1110,123,15,932,68,0.02,Mark Strickland,Robert Pack,Mark Strickland + Robert Pack
121,1741,14,898,55,0.02,Patrick Ewing,Jelani McCoy,Patrick Ewing + Jelani McCoy
2059,363,13,849,67,0.02,Eduardo Najera,Christian Laettner,Eduardo Najera + Christian Laettner
1112,711,14,836,60,0.02,Ben Wallace,Jerry Stackhouse,Ben Wallace + Jerry Stackhouse
1562,782,17,829,56,0.02,Gerard King,Mitch Richmond,Gerard King + Mitch Richmond
441,445,13,823,63,0.02,Lamond Murray,Wesley Person,Lamond Murray + Wesley Person
103,1497,17,818,57,0.02,Todd Day,Chauncey Billups,Todd Day + Chauncey Billups
21,278,18,818,70,0.02,Greg Anthony,Stacey Augmon,Greg Anthony + Stacey Augmon
1899,89,15,779,61,0.02,James Posey,Nick Van Exel,James Posey + Nick Van Exel
1737,389,16,762,58,0.02,Nazr Mohammed,Toni Kukoc,Nazr Mohammed + Toni Kukoc
1521,731,15,761,57,0.02,Jacque Vaughn,Greg Ostertag,Jacque Vaughn + Greg Ostertag
1739,699,14,754,60,0.02,Ruben Patterson,Brent Barry,Ruben Patterson + Brent Barry
3,949,17,750,40,0.02,Grant Long,Shareef Abdur-Rahim,Grant Long + Shareef Abdur-Rahim
1890,53,14,732,56,0.02,Shawn Marion,Mario Elie,Shawn Marion + Mario Elie
702,89,14,722,56,0.02,Voshon Lenard,Nick Van Exel,Voshon Lenard + Nick Van Exel
1924,695,16,717,61,0.02,Lee Nailon,Eldridge Recasner,Lee Nailon + Eldridge Recasner
1502,302,11,714,48,0.02,Adonal Foyle,Mookie Blaylock,Adonal Foyle + Mookie Blaylock
353,386,17,712,47,0.02,Darrell Armstrong,Elliot Perry,Darrell Armstrong + Elliot Perry
1944,469,15,705,51,0.02,Eddie Robinson,Jamal Mashburn,Eddie Robinson + Jamal Mashburn
1800,51,11,704,55,0.02,Damon Jones,Mahmoud Abdul-Rauf,Damon Jones + Mahmoud Abdul-Rauf
1607,42,11,701,70,0.02,Troy Hudson,Monty Williams,Troy Hudson + Monty Williams
216,375,12,684,39,0.02,Brian Shaw,Isaiah Rider,Brian Shaw + Isaiah Rider
1904,270,17,680,46,0.02,Devean George,Horace Grant,Devean George + Horace Grant
1751,782,11,678,50,0.02,Jahidi White,Mitch Richmond,Jahidi White + Mitch Richmond
109,977,11,610,52,0.02,Robert Horry,Kobe Bryant,Robert Horry + Kobe Bryant
2101,915,13,608,56,0.02,Paul McPherson,Rodney Rogers,Paul McPherson + Rodney Rogers
2038,208,12,601,34,0.02,Joel Przybilla,Sam Cassell,Joel Przybilla + Sam Cassell
2044,983,10,597,47,0.02,Jason Collier,Moochie Norris,Jason Collier + Moochie Norris
1727,386,9,593,43,0.02,Pat Garrity,Elliot Perry,Pat Garrity + Elliot Perry
1723,445,13,592,42,0.02,Matt Harpring,Wesley Person,Matt Harpring + Wesley Person
1138,1892,9,589,47,0.02,Michael Hawkins,Trajan Langdon,Michael Hawkins + Trajan Langdon
1719,937,9,584,40,0.02,Bonzi Wells,Scottie Pippen,Bonzi Wells + Scottie Pippen
123,426,9,580,48,0.02,Robert Pack,Terry Davis,Robert Pack + Terry Davis
93,959,12,555,45,0.02,Hubert Davis,Steve Nash,Hubert Davis + Steve Nash
788,891,13,543,37,0.02,Kevin Willis,Charles Oakley,Kevin Willis + Charles Oakley
1559,677,12,504,44,0.02,Adrian Griffin,Eric Williams,Adrian Griffin + Eric Williams
146,961,11,485,43,0.02,Jud Buechler,John Wallace,Jud Buechler + John Wallace
182,711,9,469,36,0.02,Billy Owens,Jerry Stackhouse,Billy Owens + Jerry Stackhouse
216,323,8,465,22,0.02,Brian Shaw,Greg Foster,Brian Shaw + Greg Foster
1541,895,8,445,30,0.02,Alvin Williams,Tyrone Corbin,Alvin Williams + Tyrone Corbin
1887,708,9,445,29,0.02,Wally Szczerbiak,Kevin Garnett,Wally Szczerbiak + Kevin Garnett
1533,754,10,440,28,0.02,Anthony Johnson,Jim Jackson,Anthony Johnson + Jim Jackson
1731,406,9,438,26,0.02,Tyronn Lue,Shaquille O'Neal,Tyronn Lue + Shaquille O'Neal
1630,966,7,435,43,0.02,Mikki Moore,Jerome Williams,Mikki Moore + Jerome Williams
2038,283,8,435,32,0.02,Joel Przybilla,Lindsey Hunter,Joel Przybilla + Lindsey Hunter
1904,375,9,421,34,0.02,Devean George,Isaiah Rider,Devean George + Isaiah Rider
168,219,10,420,41,0.02,Chris Mills,Vinny Del Negro,Chris Mills + Vinny Del Negro
190,920,7,402,32,0.02,Duane Causwell,A.C. Green,Duane Causwell + A.C. Green
469,934,8,389,30,0.02,Jamal Mashburn,Derrick Coleman,Jamal Mashburn + Derrick Coleman
1800,970,8,387,33,0.02,Damon Jones,Othella Harrington,Damon Jones + Othella Harrington
339,960,6,385,31,0.02,Tom Gugliotta,Tony Delk,Tom Gugliotta + Tony Delk
2101,960,9,377,23,0.02,Paul McPherson,Tony Delk,Paul McPherson + Tony Delk
111,417,9,369,47,0.02,LaPhonso Ellis,Sam Mitchell,LaPhonso Ellis + Sam Mitchell
185,98,7,343,24,0.02,Chris Webber,Nick Anderson,Chris Webber + Nick Anderson
164,969,8,338,28,0.02,Chris Childs,Travis Knight,Chris Childs + Travis Knight
1944,934,7,331,30,0.02,Eddie Robinson,Derrick Coleman,Eddie Robinson + Derrick Coleman
376,966,6,331,24,0.02,Eric Montross,Jerome Williams,Eric Montross + Jerome Williams
383,446,5,318,22,0.02,Kendall Gill,Lucious Harris,Kendall Gill + Lucious Harris
178,330,6,303,27,0.02,Olden Polynice,Danny Manning,Olden Polynice + Danny Manning
1559,753,7,298,30,0.02,Adrian Griffin,Randy Brown,Adrian Griffin + Randy Brown
2091,916,5,298,21,0.02,Daniel Santiago,Corie Blount,Daniel Santiago + Corie Blount
145,45,5,293,22,0.02,Tracy Murray,George McCloud,Tracy Murray + George McCloud
84,969,4,253,23,0.02,Latrell Sprewell,Travis Knight,Latrell Sprewell + Travis Knight
258,920,5,249,22,0.02,Brian Grant,A.C. Green,Brian Grant + A.C. Green
330,731,4,232,20,0.02,Danny Manning,Greg Ostertag,Danny Manning + Greg Ostertag
1802,1913,5,223,18,0.02,Brad Miller,Michael Ruffin,Brad Miller + Michael Ruffin
1559,952,5,215,20,0.02,Adrian Griffin,Antoine Walker,Adrian Griffin + Antoine Walker
145,686,5,209,15,0.02,Tracy Murray,Antonio McDyess,Tracy Murray + Antonio McDyess
958,962,5,209,14,0.02,Vitaly Potapenko,Walter McCarty,Vitaly Potapenko + Walter McCarty
120,739,64,4801,294,0.01,Steven Smith,Rasheed Wallace,Steven Smith + Rasheed Wallace
739,757,31,4719,277,0.01,Rasheed Wallace,Damon Stoudamire,Rasheed Wallace + Damon Stoudamire
120,757,67,4615,275,0.01,Steven Smith,Damon Stoudamire,Steven Smith + Damon Stoudamire
1890,467,46,4127,262,0.01,Shawn Marion,Jason Kidd,Shawn Marion + Jason Kidd
1501,283,24,4118,312,0.01,Tim Thomas,Lindsey Hunter,Tim Thomas + Lindsey Hunter
1521,304,60,4060,282,0.01,Jacque Vaughn,John Stockton,Jacque Vaughn + John Stockton
1536,2030,45,3577,227,0.01,Stephen Jackson,Kenyon Martin,Stephen Jackson + Kenyon Martin
1732,1888,36,3549,271,0.01,Felipe Lopez,Richard Hamilton,Felipe Lopez + Richard Hamilton
1000,1749,36,3328,233,0.01,Shandon Anderson,Cuttino Mobley,Shandon Anderson + Cuttino Mobley
2091,467,49,3280,214,0.01,Daniel Santiago,Jason Kidd,Daniel Santiago + Jason Kidd
703,779,31,3188,239,0.01,Kurt Thomas,Glen Rice,Kurt Thomas + Glen Rice
121,1739,47,3178,197,0.01,Patrick Ewing,Ruben Patterson,Patrick Ewing + Ruben Patterson
164,275,44,3145,229,0.01,Chris Childs,Allan Houston,Chris Childs + Allan Houston
164,779,34,3088,222,0.01,Chris Childs,Glen Rice,Chris Childs + Glen Rice
120,905,36,2998,174,0.01,Steven Smith,Dale Davis,Steven Smith + Dale Davis
2048,469,33,2950,194,0.01,Jamaal Magloire,Jamal Mashburn,Jamaal Magloire + Jamal Mashburn
193,224,32,2948,206,0.01,Anthony Mason,Eddie Jones,Anthony Mason + Eddie Jones
136,469,21,2892,182,0.01,P.J. Brown,Jamal Mashburn,P.J. Brown + Jamal Mashburn
1495,251,16,2848,204,0.01,Tim Duncan,Sean Elliott,Tim Duncan + Sean Elliott
1503,1727,31,2832,204,0.01,Tracy McGrady,Pat Garrity,Tracy McGrady + Pat Garrity
164,703,21,2748,215,0.01,Chris Childs,Kurt Thomas,Chris Childs + Kurt Thomas
779,84,22,2735,187,0.01,Glen Rice,Latrell Sprewell,Glen Rice + Latrell Sprewell
1890,2091,36,2726,178,0.01,Shawn Marion,Daniel Santiago,Shawn Marion + Daniel Santiago
1425,271,27,2693,207,0.01,Aaron Williams,Johnny Newman,Aaron Williams + Johnny Newman
1088,1112,14,2602,187,0.01,Chucky Atkins,Ben Wallace,Chucky Atkins + Ben Wallace
1732,1751,33,2509,173,0.01,Felipe Lopez,Jahidi White,Felipe Lopez + Jahidi White
467,915,31,2502,199,0.01,Jason Kidd,Rodney Rogers,Jason Kidd + Rodney Rogers
165,1749,31,2469,171,0.01,Hakeem Olajuwon,Cuttino Mobley,Hakeem Olajuwon + Cuttino Mobley
1541,1713,33,2461,174,0.01,Alvin Williams,Vince Carter,Alvin Williams + Vince Carter
120,431,27,2458,190,0.01,Steven Smith,Shawn Kemp,Steven Smith + Shawn Kemp
1710,3,36,2439,142,0.01,Mike Bibby,Grant Long,Mike Bibby + Grant Long
1541,2050,16,2415,177,0.01,Alvin Williams,Morris Peterson,Alvin Williams + Morris Peterson
1088,146,24,2409,204,0.01,Chucky Atkins,Jud Buechler,Chucky Atkins + Jud Buechler
1495,1507,21,2403,154,0.01,Tim Duncan,Derek Anderson,Tim Duncan + Derek Anderson
1630,2043,15,2353,197,0.01,Mikki Moore,Mateen Cleaves,Mikki Moore + Mateen Cleaves
1711,1721,34,2300,161,0.01,Raef LaFrentz,Keon Clark,Raef LaFrentz + Keon Clark
2030,271,17,2277,162,0.01,Kenyon Martin,Johnny Newman,Kenyon Martin + Johnny Newman
1721,1899,25,2266,151,0.01,Keon Clark,James Posey,Keon Clark + James Posey
1088,1630,14,2241,178,0.01,Chucky Atkins,Mikki Moore,Chucky Atkins + Mikki Moore
1740,2046,19,2229,149,0.01,Rashard Lewis,Desmond Mason,Rashard Lewis + Desmond Mason
1749,1903,14,2196,173,0.01,Cuttino Mobley,Kenny Thomas,Cuttino Mobley + Kenny Thomas
146,1630,14,2154,182,0.01,Jud Buechler,Mikki Moore,Jud Buechler + Mikki Moore
1503,448,17,2138,129,0.01,Tracy McGrady,Bo Outlaw,Tracy McGrady + Bo Outlaw
216,270,15,2136,127,0.01,Brian Shaw,Horace Grant,Brian Shaw + Horace Grant
369,703,29,2124,164,0.01,Charlie Ward,Kurt Thomas,Charlie Ward + Kurt Thomas
1000,1883,29,2033,126,0.01,Shandon Anderson,Steve Francis,Shandon Anderson + Steve Francis
296,406,20,1965,113,0.01,Rick Fox,Shaquille O'Neal,Rick Fox + Shaquille O'Neal
1497,210,18,1952,111,0.01,Chauncey Billups,Terrell Brandon,Chauncey Billups + Terrell Brandon
185,468,25,1946,138,0.01,Chris Webber,Jon Barry,Chris Webber + Jon Barry
1134,1800,13,1920,143,0.01,Ike Austin,Damon Jones,Ike Austin + Damon Jones
1000,1903,21,1916,145,0.01,Shandon Anderson,Kenny Thomas,Shandon Anderson + Kenny Thomas
1740,2106,18,1883,123,0.01,Rashard Lewis,Ruben Wolkowyski,Rashard Lewis + Ruben Wolkowyski
1749,1883,16,1862,143,0.01,Cuttino Mobley,Steve Francis,Cuttino Mobley + Steve Francis
283,679,26,1817,133,0.01,Lindsey Hunter,Jason Caffey,Lindsey Hunter + Jason Caffey
1507,422,23,1779,123,0.01,Derek Anderson,Avery Johnson,Derek Anderson + Avery Johnson
136,695,16,1761,140,0.01,P.J. Brown,Eldridge Recasner,P.J. Brown + Eldridge Recasner
166,216,9,1730,98,0.01,Ron Harper,Brian Shaw,Ron Harper + Brian Shaw
238,689,13,1725,110,0.01,Tyrone Hill,Theo Ratliff,Tyrone Hill + Theo Ratliff
1899,686,20,1671,106,0.01,James Posey,Antonio McDyess,James Posey + Antonio McDyess
111,1497,13,1665,122,0.01,LaPhonso Ellis,Chauncey Billups,LaPhonso Ellis + Chauncey Billups
1721,45,10,1654,150,0.01,Keon Clark,George McCloud,Keon Clark + George McCloud
238,243,10,1641,139,0.01,Tyrone Hill,Aaron McKie,Tyrone Hill + Aaron McKie
1513,468,24,1637,123,0.01,Scot Pollard,Jon Barry,Scot Pollard + Jon Barry
397,440,24,1608,122,0.01,Reggie Miller,Zan Tabak,Reggie Miller + Zan Tabak
1944,2048,14,1594,122,0.01,Eddie Robinson,Jamaal Magloire,Eddie Robinson + Jamaal Magloire
111,1725,13,1518,107,0.01,LaPhonso Ellis,Rasho Nesterovic,LaPhonso Ellis + Rasho Nesterovic
1112,146,17,1509,128,0.01,Ben Wallace,Jud Buechler,Ben Wallace + Jud Buechler
2047,399,10,1501,108,0.01,Quentin Richardson,Sean Rooks,Quentin Richardson + Sean Rooks
1607,1727,8,1491,131,0.01,Troy Hudson,Pat Garrity,Troy Hudson + Pat Garrity
278,905,13,1453,107,0.01,Stacey Augmon,Dale Davis,Stacey Augmon + Dale Davis
1502,168,9,1437,98,0.01,Adonal Foyle,Chris Mills,Adonal Foyle + Chris Mills
365,440,19,1430,120,0.01,Derrick McKey,Zan Tabak,Derrick McKey + Zan Tabak
1051,1895,16,1429,103,0.01,Dean Garrett,William Avery,Dean Garrett + William Avery
111,1887,11,1401,112,0.01,LaPhonso Ellis,Wally Szczerbiak,LaPhonso Ellis + Wally Szczerbiak
1444,57,18,1369,112,0.01,Lawrence Funderburke,Doug Christie,Lawrence Funderburke + Doug Christie
467,960,20,1367,87,0.01,Jason Kidd,Tony Delk,Jason Kidd + Tony Delk
1088,711,14,1343,101,0.01,Chucky Atkins,Jerry Stackhouse,Chucky Atkins + Jerry Stackhouse
15,2039,17,1276,89,0.01,Eric Piatkowski,Keyon Dooling,Eric Piatkowski + Keyon Dooling
270,375,7,1266,82,0.01,Horace Grant,Isaiah Rider,Horace Grant + Isaiah Rider
15,1894,12,1239,102,0.01,Eric Piatkowski,Corey Maggette,Eric Piatkowski + Corey Maggette
1506,440,13,1224,95,0.01,Austin Croshere,Zan Tabak,Austin Croshere + Zan Tabak
2130,270,17,1211,86,0.01,Mike Penberthy,Horace Grant,Mike Penberthy + Horace Grant
1722,1800,16,1209,87,0.01,Michael Dickerson,Damon Jones,Michael Dickerson + Damon Jones
717,739,17,1200,85,0.01,Arvydas Sabonis,Rasheed Wallace,Arvydas Sabonis + Rasheed Wallace
1714,221,13,1179,82,0.01,Robert Traylor,Clar. Weatherspoon,Robert Traylor + Clar. Weatherspoon
1800,735,11,1177,77,0.01,Damon Jones,Bryant Reeves,Damon Jones + Bryant Reeves
