player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60,player_1_name,player_2_name,pair_name
1138,1714,28,438,35,0.06,Michael Hawkins,Robert Traylor,Michael Hawkins + Robert Traylor
1138,221,23,418,31,0.06,Michael Hawkins,Clar. Weatherspoon,Michael Hawkins + Clar. Weatherspoon
2036,441,25,416,29,0.06,Chris Mihm,Lamond Murray,Chris Mihm + Lamond Murray
913,948,25,396,16,0.06,Larry Johnson,Marcus Camby,Larry Johnson + Marcus Camby
252,935,22,383,28,0.06,Karl Malone,Bryon Russell,Karl Malone + Bryon Russell
1904,406,23,369,29,0.06,Devean George,Shaquille O'Neal,Devean George + Shaquille O'Neal
1723,902,21,347,33,0.06,Matt Harpring,Bimbo Coles,Matt Harpring + Bimbo Coles
224,920,20,342,31,0.06,Eddie Jones,A.C. Green,Eddie Jones + A.C. Green
422,764,20,334,20,0.06,Avery Johnson,David Robinson,Avery Johnson + David Robinson
57,98,18,324,21,0.06,Doug Christie,Nick Anderson,Doug Christie + Nick Anderson
952,958,18,312,29,0.06,Antoine Walker,Vitaly Potapenko,Antoine Walker + Vitaly Potapenko
435,672,18,296,18,0.06,Carlos Rogers,Matt Bullard,Carlos Rogers + Matt Bullard
1900,2052,17,280,17,0.06,Quincy Lewis,DeShawn Stevenson,Quincy Lewis + DeShawn Stevenson
1736,2064,17,268,21,0.06,Corey Benjamin,Khalid El-Amin,Corey Benjamin + Khalid El-Amin
26,275,15,260,18,0.06,Luc Longley,Allan Houston,Luc Longley + Allan Houston
1915,2066,15,259,22,0.06,Evan Eschmeyer,Soumaila Samake,Evan Eschmeyer + Soumaila Samake
1727,690,15,251,16,0.06,Pat Garrity,Don Reid,Pat Garrity + Don Reid
1065,26,15,246,16,0.06,Erick Strickland,Luc Longley,Erick Strickland + Luc Longley
103,417,14,226,16,0.06,Todd Day,Sam Mitchell,Todd Day + Sam Mitchell
2038,911,14,222,11,0.06,Joel Przybilla,Ervin Johnson,Joel Przybilla + Ervin Johnson
2052,731,13,210,13,0.06,DeShawn Stevenson,Greg Ostertag,DeShawn Stevenson + Greg Ostertag
1713,349,176,3783,235,0.05,Vince Carter,Mark Jackson,Vince Carter + Mark Jackson
2050,213,111,2426,166,0.05,Morris Peterson,Antonio Davis,Morris Peterson + Antonio Davis
178,252,84,1787,97,0.05,Olden Polynice,Karl Malone,Olden Polynice + Karl Malone
1714,1889,72,1564,126,0.05,Robert Traylor,Andre Miller,Robert Traylor + Andre Miller
1710,1722,80,1525,99,0.05,Mike Bibby,Michael Dickerson,Mike Bibby + Michael Dickerson
1521,2052,68,1483,100,0.05,Jacque Vaughn,DeShawn Stevenson,Jacque Vaughn + DeShawn Stevenson
1713,891,65,1424,86,0.05,Vince Carter,Charles Oakley,Vince Carter + Charles Oakley
1711,702,57,1193,92,0.05,Raef LaFrentz,Voshon Lenard,Raef LaFrentz + Voshon Lenard
201,915,57,1128,102,0.05,Chris Dudley,Rodney Rogers,Chris Dudley + Rodney Rogers
275,913,54,1084,63,0.05,Allan Houston,Larry Johnson,Allan Houston + Larry Johnson
